File,code,PrevDH,Lag,Seg_Start,Seg_End,Word,Word_Start,Word_End,PrevWord,Pre_Seg,Pre_Seg_Start,Pre_Seg_End,Post_Seg,Post_Seg_Start,Post_Seg_End,Window,Vowels_per_Second,gender,birthyear,age,obs,prev
PH00-1-1,1,1,5.485,1261.308,1261.388,THE,1261.308,1261.418,THE,AH,1261.088,1261.308,AH,1261.388,1261.418,2.195,2.733,m,1979,21,1,1
PH00-1-1,1,1,0.56,1261.907,1261.937,THE,1261.907,1261.978,THE,N,1261.878,1261.907,IY,1261.937,1261.978,1.34,4.478,m,1979,21,1,1
PH00-1-1,0,1,7.45,1269.338,1269.398,THEY,1269.338,1269.428,THE,sp,1268.177,1269.338,EY,1269.398,1269.428,2.02,1.98,m,1979,21,0,1
PH00-1-1,1,0,3.775,1273.133,1273.162,THEY,1273.133,1273.203,THEY,sp,1273.113,1273.133,EY,1273.162,1273.203,0.59,6.78,m,1979,21,1,0
PH00-1-1,1,1,1.05,1274.153,1274.193,THERE,1274.153,1274.253,THEY,R,1274.102,1274.153,EH,1274.193,1274.223,1.03,8.738,m,1979,21,1,1
PH00-1-1,1,1,1.68,1275.753,1275.823,THERE,1275.753,1275.933,THERE,N,1275.723,1275.753,EH,1275.823,1275.903,0.76,9.211,m,1979,21,1,1
PH00-1-1,1,1,4.329,1280.033,1280.093,THERE,1280.033,1280.262,THERE,EY,1279.963,1280.033,EH,1280.093,1280.172,0.99,7.071,m,1979,21,1,1
PH00-1-1,0,1,1.751,1281.923,1281.952,THEN,1281.923,1282.013,THERE,sp,1280.692,1281.923,EH,1281.952,1281.983,1.861,2.687,m,1979,21,0,1
PH00-1-1,2,0,2.14,1284.073,1284.123,THE,1284.073,1284.153,THEN,F,1283.993,1284.073,AH,1284.123,1284.153,1.195,3.347,m,1979,21,1,0
PH00-1-1,1,2,8.75,1292.733,1292.763,THAT'S,1292.733,1292.903,THE,R,1292.703,1292.733,AE,1292.763,1292.793,2.215,2.257,m,1979,21,1,1
PH00-1-1,0,1,11.3,1304.103,1304.173,THEN,1304.103,1304.203,THAT'S,sp,1304.033,1304.103,EY,1304.173,1304.203,0.886,4.515,m,1979,21,0,1
PH00-1-1,1,0,0.59,1304.622,1304.663,THERE,1304.622,1304.793,THEN,EY,1304.573,1304.622,EH,1304.663,1304.742,1.02,6.863,m,1979,21,1,0
PH00-1-1,1,1,2.25,1306.973,1307.013,THE,1306.973,1307.043,THERE,M,1306.943,1306.973,AH,1307.013,1307.043,2.151,5.114,m,1979,21,1,1
PH00-1-1,1,1,3.974,1310.788,1310.817,THERE,1310.788,1311.017,THE,Z,1310.677,1310.788,EH,1310.817,1310.918,1.47,4.082,m,1979,21,1,1
